county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,364,47,15,10,0,1,15,0,41,1/31/18
ANNE ARUNDEL,"2,860",553,134,128,4,4,93,3,366,1/31/18
BALTIMORE CITY,"3,635",723,105,46,10,3,53,6,223,1/31/18
BALTIMORE CO.,"4,858","1,013",194,139,9,12,108,14,476,1/31/18
CALVERT,358,177,28,26,2,0,21,2,79,1/31/18
CAROLINE,124,35,12,5,0,0,9,0,26,1/31/18
CARROLL,728,179,35,59,1,2,30,2,129,1/31/18
CECIL,511,115,23,18,2,8,16,1,68,1/31/18
CHARLES,893,224,57,44,1,1,29,3,135,1/31/18
DORCHESTER,182,32,9,4,0,3,4,2,22,1/31/18
FREDERICK,"1,390",308,58,81,3,4,70,1,217,1/31/18
GARRETT,152,24,7,8,0,1,6,0,22,1/31/18
HARFORD,"1,421",301,73,79,1,4,62,5,224,1/31/18
HOWARD,"1,335",307,48,83,3,5,81,7,227,1/31/18
KENT,69,19,2,3,1,0,2,0,8,1/31/18
MONTGOMERY,"5,595","1,224",187,202,15,8,205,19,636,1/31/18
PR. GEORGE'S,"4,821",936,153,58,2,3,95,22,333,1/31/18
QUEEN ANNE'S,300,56,10,10,0,1,12,1,34,1/31/18
ST. MARY'S,537,111,22,27,1,4,18,1,73,1/31/18
SOMERSET,105,32,15,4,0,0,5,0,24,1/31/18
TALBOT,201,51,6,12,1,1,5,1,26,1/31/18
WASHINGTON,842,147,33,26,2,1,35,4,101,1/31/18
WICOMICO,302,76,24,16,0,2,12,3,57,1/31/18
WORCESTER,279,47,15,15,0,0,17,0,47,1/31/18
