voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,0,0,0,0,1,0,1,9/30/14
CONFIRMATION MAIL,6,1,0,0,1,0,8,9/30/14
COUNTY TRANSFER - OUT,"4,114","1,842",27,49,"1,746",51,"7,829",9/30/14
CRIMINAL CONVICTION,52,14,0,1,12,0,79,9/30/14
DEATH NOTICE,"2,491",997,4,15,353,39,"3,899",9/30/14
DUPLICATE,17,4,0,0,7,0,28,9/30/14
MAIL VERIFICATION (NVRA),5,3,0,0,0,0,8,9/30/14
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,9/30/14
MOVED OUT OF STATE,649,555,6,6,316,10,"1,542",9/30/14
OTHER,94,15,1,2,60,0,172,9/30/14
VOTER REQUEST,12,8,1,0,4,0,25,9/30/14
