voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,0,0,0,0,0,0,0,3/31/18
CONFIRMATION MAIL,4,4,0,0,2,0,10,3/31/18
COUNTY TRANSFER - OUT,"2,114",702,16,18,687,14,"3,551",3/31/18
CRIMINAL CONVICTION,94,25,0,1,35,1,156,3/31/18
DEATH NOTICE,"1,762",827,1,4,266,27,"2,887",3/31/18
DUPLICATE,53,14,0,3,17,8,95,3/31/18
MAIL VERIFICATION (NVRA),"3,629","1,629",19,59,"1,556",60,"6,952",3/31/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,3/31/18
MOVED OUT OF STATE,298,283,2,2,139,10,734,3/31/18
OTHER,73,11,1,1,42,1,129,3/31/18
VOTER REQUEST,6,3,0,1,5,0,15,3/31/18
