voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),40,15,0,0,6,2,63,9/30/14,83
BY MAIL,965,509,7,12,479,41,"2,013",9/30/14,"1,035"
DESIGNATED STATE AGENCIES,112,39,0,0,41,2,194,9/30/14,44
ELDERLY / DISABLED,3,2,0,0,0,0,5,9/30/14,3
FROM ANOTHER BOARD,35,20,0,0,9,2,66,9/30/14,26
PROVISIONAL BALLOT,1,0,0,0,0,0,1,9/30/14,3
IN PERSON,86,56,0,1,39,3,185,9/30/14,20
MOTOR VEHICLE ADMINISTRATION,6541,3050,58,142,4110,33,"13,934",9/30/14,"1,249"
NVRA BY MAIL,90,68,0,3,68,4,233,9/30/14,20
ONLINE REGISTRATION,649,348,10,10,313,15,"1,345",9/30/14,66
OTHER MEANS,379,48,0,5,140,3,575,9/30/14,361
RECRUITING,0,1,0,0,0,0,1,9/30/14,0
SOCIAL SERVICES,38,6,0,0,34,0,78,9/30/14,23
VOLUNTEER,60,33,0,3,32,0,128,9/30/14,0
