voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,8,0,0,0,1,0,9,5/31/18
CONFIRMATION MAIL,3,0,0,0,1,0,4,5/31/18
COUNTY TRANSFER - OUT,"2,982",980,31,45,807,31,"4,876",5/31/18
CRIMINAL CONVICTION,90,20,1,1,21,0,133,5/31/18
DEATH NOTICE,"1,749",756,3,8,247,28,"2,791",5/31/18
DUPLICATE,22,7,0,0,2,0,31,5/31/18
MAIL VERIFICATION (NVRA),0,0,0,0,1,0,1,5/31/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,5/31/18
MOVED OUT OF STATE,219,150,0,4,77,7,457,5/31/18
OTHER,116,25,3,2,45,3,194,5/31/18
VOTER REQUEST,17,9,0,0,1,0,27,5/31/18
