voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),62,20,1,0,6,2,91,9/30/18,207
BY MAIL,712,212,0,7,253,27,"1,211",9/30/18,353
DESIGNATED STATE AGENCIES,197,35,2,6,93,11,344,9/30/18,28
ELDERLY / DISABLED / SOC SEC,761,146,4,3,329,15,"1,258",9/30/18,12
ERIC REPORT,3,0,0,0,0,0,3,9/30/18,1
FROM ANOTHER BOARD,24,10,0,0,3,1,38,9/30/18,27
PROVISIONAL BALLOT,2,0,0,0,2,0,4,9/30/18,2
IN PERSON,66,41,0,0,39,1,147,9/30/18,78
MOTOR VEHICLE ADMINISTRATION,15199,5891,96,330,8071,102,"29,689",9/30/18,893
NVRA BY MAIL,72,16,0,0,22,0,110,9/30/18,17
ONLINE REGISTRATION,3498,875,28,70,1499,50,"6,020",9/30/18,221
OTHER MEANS,230,60,2,4,84,3,383,9/30/18,251
RECRUITING,0,0,0,0,1,0,1,9/30/18,0
SOCIAL SERVICES,7,3,0,0,5,0,15,9/30/18,11
VOLUNTEER,207,43,1,4,98,2,355,9/30/18,0
