voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,1,0,0,0,0,0,1,7/31/18
CONFIRMATION MAIL,7,0,0,0,0,0,7,7/31/18
COUNTY TRANSFER - OUT,"5,787","2,299",36,100,"1,986",33,"10,241",7/31/18
CRIMINAL CONVICTION,64,12,0,0,17,2,95,7/31/18
DEATH NOTICE,"1,729",774,5,2,288,24,"2,822",7/31/18
DUPLICATE,65,7,0,0,20,3,95,7/31/18
MAIL VERIFICATION (NVRA),"3,498","1,737",27,64,"1,620",48,"6,994",7/31/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,7/31/18
MOVED OUT OF STATE,674,502,9,10,299,13,"1,507",7/31/18
OTHER,15,5,0,0,5,0,25,7/31/18
VOTER REQUEST,21,18,0,1,11,0,51,7/31/18
