voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),19,9,1,0,1,0,30,4/30/18,15
BY MAIL,517,157,3,12,184,9,882,4/30/18,226
DESIGNATED STATE AGENCIES,173,41,0,5,68,7,294,4/30/18,68
ELDERLY / DISABLED / SOC SEC,592,88,4,6,230,10,930,4/30/18,2
ERIC REPORT,5,2,0,0,0,0,7,4/30/18,1
FROM ANOTHER BOARD,9,1,0,0,2,0,12,4/30/18,17
PROVISIONAL BALLOT,0,0,0,0,0,0,0,4/30/18,0
IN PERSON,111,29,2,0,38,1,181,4/30/18,22
MOTOR VEHICLE ADMINISTRATION,6508,2426,44,136,3629,80,"12,823",4/30/18,329
NVRA BY MAIL,21,20,0,1,9,0,51,4/30/18,4
ONLINE REGISTRATION,620,163,1,6,231,8,"1,029",4/30/18,11
OTHER MEANS,116,34,0,4,38,1,193,4/30/18,172
RECRUITING,0,0,0,0,0,0,0,4/30/18,1
SOCIAL SERVICES,25,0,0,0,2,0,27,4/30/18,6
VOLUNTEER,107,17,0,2,41,1,168,4/30/18,0
