voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,1,0,0,0,0,0,1,1/31/18
CONFIRMATION MAIL,22,20,0,1,12,0,55,1/31/18
COUNTY TRANSFER - OUT,"2,336",845,17,39,735,24,"3,996",1/31/18
CRIMINAL CONVICTION,6,0,0,0,5,0,11,1/31/18
DEATH NOTICE,"1,952",941,4,5,276,36,"3,214",1/31/18
DUPLICATE,67,19,1,1,23,3,114,1/31/18
MAIL VERIFICATION (NVRA),"5,761","2,603",47,96,"2,337",90,"10,934",1/31/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,1/31/18
MOVED OUT OF STATE,336,306,6,7,165,5,825,1/31/18
OTHER,22,7,0,0,14,2,45,1/31/18
VOTER REQUEST,13,7,1,0,8,1,30,1/31/18
