voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),7,4,0,0,0,0,11,2/28/18,3
BY MAIL,536,207,4,8,204,14,973,2/28/18,187
DESIGNATED STATE AGENCIES,229,64,2,7,116,10,428,2/28/18,113
ELDERLY / DISABLED / SOC SEC,302,49,4,3,139,4,501,2/28/18,3
ERIC REPORT,1,0,0,0,1,0,2,2/28/18,0
FROM ANOTHER BOARD,15,8,0,0,4,3,30,2/28/18,15
PROVISIONAL BALLOT,0,0,0,0,0,0,0,2/28/18,0
IN PERSON,45,15,0,1,8,0,69,2/28/18,4
MOTOR VEHICLE ADMINISTRATION,5082,2005,35,108,2847,58,"10,135",2/28/18,338
NVRA BY MAIL,26,5,1,1,4,0,37,2/28/18,3
ONLINE REGISTRATION,403,106,7,5,158,4,683,2/28/18,20
OTHER MEANS,89,21,0,1,46,4,161,2/28/18,707
RECRUITING,0,0,0,0,0,0,0,2/28/18,0
SOCIAL SERVICES,6,0,0,0,6,0,12,2/28/18,4
VOLUNTEER,124,40,3,0,49,0,216,2/28/18,0
