voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),11,5,0,0,2,0,18,3/31/18,4
BY MAIL,488,169,1,6,183,12,859,3/31/18,189
DESIGNATED STATE AGENCIES,156,34,3,4,85,10,292,3/31/18,76
ELDERLY / DISABLED / SOC SEC,376,74,1,6,144,8,609,3/31/18,2
ERIC REPORT,195,43,1,2,45,0,286,3/31/18,24
FROM ANOTHER BOARD,17,5,1,0,4,1,28,3/31/18,22
PROVISIONAL BALLOT,0,0,0,0,0,0,0,3/31/18,0
IN PERSON,111,25,2,2,34,0,174,3/31/18,7
MOTOR VEHICLE ADMINISTRATION,5807,2213,37,115,3173,83,"11,428",3/31/18,401
NVRA BY MAIL,26,16,0,0,10,0,52,3/31/18,4
ONLINE REGISTRATION,593,145,3,14,200,4,959,3/31/18,28
OTHER MEANS,156,24,0,3,63,0,246,3/31/18,163
RECRUITING,0,0,0,0,0,0,0,3/31/18,0
SOCIAL SERVICES,8,2,0,0,6,0,16,3/31/18,6
VOLUNTEER,87,30,2,2,28,1,150,3/31/18,0
