voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,0,0,0,1,4,0,5,9/30/18
CONFIRMATION MAIL,2,1,0,0,1,0,4,9/30/18
COUNTY TRANSFER - OUT,"11,110","4,248",73,187,"4,368",71,"20,057",9/30/18
CRIMINAL CONVICTION,37,11,0,0,18,0,66,9/30/18
DEATH NOTICE,"2,551","1,133",7,6,397,46,"4,140",9/30/18
DUPLICATE,121,33,0,0,38,7,199,9/30/18
MAIL VERIFICATION (NVRA),4,0,0,0,0,0,4,9/30/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,9/30/18
MOVED OUT OF STATE,636,280,1,5,269,11,"1,202",9/30/18
OTHER,69,8,0,2,47,5,131,9/30/18
VOTER REQUEST,11,12,0,0,6,0,29,9/30/18
