voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,0,0,0,0,0,0,0,8/30/18
CONFIRMATION MAIL,14,7,0,1,7,0,29,8/30/18
COUNTY TRANSFER - OUT,"9,559","3,509",47,138,"3,477",63,"16,793",8/30/18
CRIMINAL CONVICTION,78,8,1,0,16,1,104,8/30/18
DEATH NOTICE,"1,380",645,3,6,224,28,"2,286",8/30/18
DUPLICATE,77,22,0,1,13,3,116,8/30/18
MAIL VERIFICATION (NVRA),"4,711","2,780",21,108,"2,151",92,"9,863",8/30/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,8/30/18
MOVED OUT OF STATE,894,657,8,13,427,19,"2,018",8/30/18
OTHER,38,11,1,0,22,0,72,8/30/18
VOTER REQUEST,12,8,1,1,4,3,29,8/30/18
