voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),142,44,0,0,12,4,202,6/30/18,257
BY MAIL,478,187,0,3,115,6,789,6/30/18,104
DESIGNATED STATE AGENCIES,174,22,1,3,78,2,280,6/30/18,99
ELDERLY / DISABLED / SOC SEC,1212,169,12,12,364,20,"1,789",6/30/18,12
ERIC REPORT,5,0,0,0,1,0,6,6/30/18,0
FROM ANOTHER BOARD,7,9,0,0,4,0,20,6/30/18,5
PROVISIONAL BALLOT,1422,263,3,5,123,7,"1,823",6/30/18,253
IN PERSON,177,58,0,1,29,2,267,6/30/18,18
MOTOR VEHICLE ADMINISTRATION,1791,628,15,38,927,34,"3,433",6/30/18,275
NVRA BY MAIL,30,13,0,0,17,0,60,6/30/18,15
ONLINE REGISTRATION,2040,524,14,27,570,18,"3,193",6/30/18,274
OTHER MEANS,132,25,3,1,35,1,197,6/30/18,124
RECRUITING,1,0,0,0,0,0,1,6/30/18,0
SAME DAY REGISTRATION,720,138,2,2,63,2,927,6/30/18,1
SOCIAL SERVICES,3,0,0,0,3,0,6,6/30/18,5
VOLUNTEER,336,33,1,2,92,2,466,6/30/18,0
