county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,346,28,19,7,0,0,8,3,37,3/31/18
ANNE ARUNDEL,"1,840",460,91,98,2,5,115,10,321,3/31/18
BALTIMORE CITY,"4,410",688,86,61,9,2,85,12,255,3/31/18
BALTIMORE CO.,"4,638",817,162,125,3,10,119,15,434,3/31/18
CALVERT,400,81,46,15,0,5,34,5,105,3/31/18
CAROLINE,74,23,12,4,0,0,9,0,25,3/31/18
CARROLL,603,105,21,31,0,3,27,2,84,3/31/18
CECIL,416,96,38,13,0,2,23,3,79,3/31/18
CHARLES,803,155,30,43,1,2,25,3,104,3/31/18
DORCHESTER,234,27,6,4,1,2,7,0,20,3/31/18
FREDERICK,"1,199",218,45,47,5,3,61,3,164,3/31/18
GARRETT,116,14,3,3,0,1,4,0,11,3/31/18
HARFORD,"1,307",225,64,37,2,2,40,8,153,3/31/18
HOWARD,"1,163",238,51,51,6,5,64,5,182,3/31/18
KENT,69,13,5,3,0,1,5,1,15,3/31/18
MONTGOMERY,"5,328","1,009",153,178,9,9,279,33,661,3/31/18
PR. GEORGE'S,"5,047",919,158,71,7,7,93,14,350,3/31/18
QUEEN ANNE'S,197,54,12,8,1,0,13,0,34,3/31/18
ST. MARY'S,550,80,21,15,0,1,13,2,52,3/31/18
SOMERSET,98,23,11,3,0,0,6,0,20,3/31/18
TALBOT,165,29,5,11,2,0,18,1,37,3/31/18
WASHINGTON,891,174,37,14,2,4,34,1,92,3/31/18
WICOMICO,582,78,18,16,0,0,12,0,46,3/31/18
WORCESTER,273,45,29,13,1,1,30,2,76,3/31/18
