voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),64,28,0,2,11,2,107,5/31/18,48
BY MAIL,627,195,5,5,188,12,"1,032",5/31/18,211
DESIGNATED STATE AGENCIES,436,74,3,2,170,8,693,5/31/18,133
ELDERLY / DISABLED / SOC SEC,748,136,2,8,282,10,"1,186",5/31/18,5
ERIC REPORT,2,0,0,0,1,0,3,5/31/18,2
FROM ANOTHER BOARD,14,6,2,2,5,3,32,5/31/18,14
PROVISIONAL BALLOT,1,1,0,0,1,0,3,5/31/18,1
IN PERSON,253,65,0,1,54,1,374,5/31/18,21
MOTOR VEHICLE ADMINISTRATION,6266,2569,42,155,3633,94,"12,759",5/31/18,398
NVRA BY MAIL,37,7,0,0,6,0,50,5/31/18,10
ONLINE REGISTRATION,1702,414,12,15,478,19,"2,640",5/31/18,80
OTHER MEANS,227,42,3,4,98,3,377,5/31/18,192
RECRUITING,0,0,0,0,1,0,1,5/31/18,0
SOCIAL SERVICES,10,5,0,0,10,0,25,5/31/18,8
VOLUNTEER,276,39,1,3,80,0,399,5/31/18,0
