voter_removal,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
BOARD ACTION,3,0,0,0,1,0,4,2/28/18
CONFIRMATION MAIL,3,1,0,0,1,0,5,2/28/18
COUNTY TRANSFER - OUT,"1,925",625,9,27,619,15,"3,220",2/28/18
CRIMINAL CONVICTION,211,35,1,1,53,5,306,2/28/18
DEATH NOTICE,"1,708",783,2,5,268,29,"2,795",2/28/18
DUPLICATE,38,3,0,0,6,3,50,2/28/18
MAIL VERIFICATION (NVRA),"2,614","1,011",18,44,"1,021",32,"4,740",2/28/18
MENTAL INCOMPETENCY,0,0,0,0,0,0,0,2/28/18
MOVED OUT OF STATE,250,239,1,2,121,8,621,2/28/18
OTHER,19,5,0,1,15,0,40,2/28/18
VOTER REQUEST,11,11,0,0,6,0,28,2/28/18
