county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,132,55,29,6,0,1,10,1,47,2/28/18
ANNE ARUNDEL,842,379,103,88,5,8,78,4,286,2/28/18
BALTIMORE CITY,"1,254",598,75,50,8,4,60,10,207,2/28/18
BALTIMORE CO.,"1,261",688,154,110,2,8,107,9,390,2/28/18
CALVERT,114,73,34,15,0,2,12,4,67,2/28/18
CAROLINE,179,20,9,3,1,0,7,0,20,2/28/18
CARROLL,212,101,27,24,2,4,19,4,80,2/28/18
CECIL,166,86,20,15,2,1,24,3,65,2/28/18
CHARLES,263,143,24,36,0,1,25,2,88,2/28/18
DORCHESTER,58,21,6,5,0,0,8,0,19,2/28/18
FREDERICK,394,195,41,35,3,4,51,1,135,2/28/18
GARRETT,41,20,5,5,0,1,1,0,12,2/28/18
HARFORD,396,204,63,30,3,3,43,6,148,2/28/18
HOWARD,324,199,38,48,2,1,54,5,148,2/28/18
KENT,25,12,5,3,0,0,5,0,13,2/28/18
MONTGOMERY,"1,864",894,136,167,9,11,194,20,537,2/28/18
PR. GEORGE'S,"2,457","1,631",139,70,5,9,108,15,346,2/28/18
QUEEN ANNE'S,51,37,16,6,0,1,7,0,30,2/28/18
ST. MARY'S,170,77,17,21,1,0,14,1,54,2/28/18
SOMERSET,39,16,6,2,1,1,2,2,14,2/28/18
TALBOT,93,45,8,11,0,0,9,0,28,2/28/18
WASHINGTON,267,125,27,17,1,2,24,1,72,2/28/18
WICOMICO,270,92,19,13,0,1,11,3,47,2/28/18
WORCESTER,96,53,18,7,0,0,10,1,36,2/28/18
