voter_reg,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date,DUPS
ABSENTEE BALLOT (FPCA),23,9,0,0,3,1,36,8/30/18,125
BY MAIL,846,385,7,5,295,17,"1,555",8/30/18,371
DESIGNATED STATE AGENCIES,333,91,8,5,160,11,608,8/30/18,98
ELDERLY / DISABLED / SOC SEC,550,114,10,8,213,8,903,8/30/18,3
ERIC REPORT,16,19,0,2,17,0,54,8/30/18,5
FROM ANOTHER BOARD,18,11,0,1,2,1,33,8/30/18,21
PROVISIONAL BALLOT,10,4,0,0,2,0,16,8/30/18,421
IN PERSON,89,32,2,1,32,2,158,8/30/18,468
MOTOR VEHICLE ADMINISTRATION,15959,6090,91,306,8345,104,"30,895",8/30/18,886
NVRA BY MAIL,86,29,0,0,28,0,143,8/30/18,35
ONLINE REGISTRATION,1348,348,11,32,567,15,"2,321",8/30/18,125
OTHER MEANS,835,153,5,10,243,4,"1,250",8/30/18,199
RECRUITING,0,0,0,0,1,0,1,8/30/18,2
SOCIAL SERVICES,4,0,0,0,8,0,12,8/30/18,12
VOLUNTEER,46,12,0,2,20,1,81,8/30/18,0
